,competitor,text_indo
10,Compas,“Apakah saat ini waktu yang tepat untuk masuk ke e-commerce?” “Seberapa potensial market e-commerce di Indonesia?” COD Episode 1 akan menyajikan data untuk menjawab pertanyaan diatas yang seringkali ditanyakan para FMCG Business Leader! Mari bedah potensi market FMCG bersama Compas.co.id!
11,Compas,"🔎 Mengenal ""e-COD"" Sebuah program yang dipandu oleh CEO & Co-founder Compas.co.id, Hanindia Narendrata yang akan memberikan berbagai insight untuk membantu para pelaku bisnis FMCG bersaing secara cerdas dan berbasis data di e-commerce."
12,Compas,📣 Terhubung dengan Compas.co.id: Kunjungi website kami: Compas.co.id Ikuti kami di Instagram: instagram.com/compas.co.id Ikuti kami di Twitter: @compascoid Terhubung dengan kami di LinkedIn: linkedin.com/company/compas-co-id
13,Compas,👉 Berlangganan & Pantau terus: Permintaan Bisnis: Compas.co.id Whatsapp: +62 852-8006-0715 Email: contact@compas.co.id #ecommerce #marketinsight #businessstrategy #datadriven #dataecommerce Tampilkan Lebih Banyak Wawasan Pasar E-commerce Compas 2 tahun yang lalu 433 11 1 0
14,Compas,Selamat datang di episode kedua COD by C ... ompas.co.id!
15,Compas,"“Di tengah ketatnya persaingan di e-commerce, bagaimana seharusnya kita melihat para pemain lain di e-commerce? Yuk cari tahu tips jitu belajar dari pemain lain di e-commerce dengan mindset “Worthy Rival”. Bedah strategi dari 2 client Compas di market Beauty & Care yang sukses tingkatkan penjualan karena belajar dari strategi kompetitornya!"
16,Compas,👉 Berlangganan & Pantau terus: Permintaan Bisnis: Compas.co.id Whatsapp: +62 852-8006-0715 Email: contact@compas.co.id #ecommerce #marketinsight #businessstrategy #datadriven #dataecommerce Tampilkan Lebih Banyak Wawasan Pasar E-commerce Compas 2 tahun yang lalu 280 11 1 0
17,Compas,Selamat datang di episode ketiga COD by ... Compas.co.id!
18,Compas,"Dalam episode kali ini, kita akan menggali lebih dalam tentang bagaimana Data Real Time dapat menjadi game-changer dalam dunia e-commerce. Bagaimana data real-time dapat membantu Anda mengantisipasi tren dan meningkatkan penjualan? Belajar dari salah satu client Compas yang memantau secara real time & belajar dari performa kompetitornya yang mendapatkan Rp163 Juta hanya dari 1 produk di e-commerce!"
19,Compas,👉 Berlangganan & Pantau terus: Pertanyaan Bisnis: Compas.co.id Whatsapp: +62 852-8006-0715 Email: contact@compas.co.id #ecommerce #marketinsight #businessstrategy #datadriven #dataecommerce Tampilkan Lebih Banyak Compas E-commerce Market Insight 2 tahun lalu 243 9 0 0
20,Compas,"Wawasan, Tren, dan Strategi: Pusat Pengetahuan E-niaga Anda Jelajahi artikel terbaru kami yang menampilkan analisis mendalam, strategi yang dapat ditindaklanjuti, dan tren industri yang disesuaikan untuk merek FMCG. Dari wawasan berbasis data hingga saran ahli, temukan bagaimana Anda dapat tetap menjadi yang terdepan dalam lanskap e-commerce Indonesia yang dinamis"
21,Compas,"InsightEPIC AwardsEvent Rahasia Sukses E-commerce: Inovasi Berbasis Data dan Pendekatan Ramah Ala Scarlett September 23, 2025  EPIC AwardsBeauty InsightEventF&B InsightFMCGInsightMom & Baby InsightTren FMCG Mengulas Performa E-commerce Indonesia Semester 1 2025: Strategi Kunci untuk Brand FMCG September 18, 2025"
22,Compas,"E-commerce EnablerBeauty InsightInsightTop Brand Top 10 Brand Kecantikan di Shopee Indonesia Kuartal I 2025: Tren Paket Kecantikan 17 Juni 2025 Lihat Artikel Lainnya Memberdayakan Bisnis Online Anda dengan Wawasan Berbasis Data dan Solusi E-commerce yang Mulus dari Compas. Mulai Sekarang Berdayakan Bisnis Online Anda dengan Wawasan Berbasis Data dan Solusi E-commerce yang Mulus dari Compas. Mulai Sekarang Kompas.co.id adalah penyedia data e-commerce, analisis bisnis, dan pemberdayaan e-commerce terkemuka. Kami bertindak sebagai ‘Pendamping’ bagi merek-merek FMCG terkemuka di Indonesia, membantu mereka mengelola bisnis online mereka dengan wawasan bisnis berbasis data dan proses manajemen pesanan end-to-end yang otomatis. Kompas.co.id Tentang Kami"
23,Compas,"Pusat Bantuan Ikuti Kami Instagram Linkedin X-twitter Tiktok Hak Cipta © 2025 Kompas.co.id oleh PT Telunjuk Komputasi Indonesia {""prefetch"":{""source"":""document"",""where"":{""and"":[{""href_matches"":""/""},{""not"":{""href_matches"":[""/wp-.php"",""/wp-admin/"",""/wp-content/uploads/"",""/wp-content/"",""/wp -content/plugins/"",""/wp-content/themes/hello-elementor/"",""/\?(.+)""]}},{""not"":{""selector_matches"":""a[rel~=""nofollow""]""}},{""not"":{""selector_matches"":"".no-prefetch, .no-prefetch a""}}]},""eagerness"":""konservatif""}]}"
24,Compas,"#okapi-wasb-button{ posisi: tetap; indeks-z: 9999999; } #okapi-wasb-button{ bawah: 10px; kanan: 10 piksel; } #okapi-wasb-icon{ opasitas: 0,95; lebar: 90 piksel; tinggi: 90 piksel; } #okapi-wasb-icon:hover{ opasitas: 1; } @layar khusus media dan (lebar minimum: 320 piksel){ #okapi-wasb-button{ display: block; } } Layar khusus @media dan (lebar minimum: 768 piksel){ #okapi-wasb-button{ display: block; }"
25,Compas,} @layar khusus media dan (lebar minimum: 992 piksel){ #okapi-wasb-button{ display: block; } }
26,Compas,"const lazyloadRunObserver = () => { const lazyloadBackgrounds = document.querySelectorAll( .e-con.e-parent:not(.e-lazyloaded) ); const lazyloadBackgroundObserver = new IntersectionObserver( ( entri ) => { entri.forEach( ( entri ) => { if ( entry.isIntersecting ) { biarkanzyloadBackground = entri.target; if(lazyloadBackground ) {lazyloadBackground.classList.add( 'e-lazyloaded' ); }lazyloadBackgroundObserver.unobserve( entri.target ); } }); }, { rootMargin: '200px 0px 200px 0px' } ); lazyloadBackgrounds.forEach( ( lazyloadBackground ) => { lazyloadBackgroundObserver.observe( lazyloadBackground ); } ); }; const events = [ 'DOMContentLoaded', 'elementor/lazyload/observe', ]; acara.forEach( ( acara ) => { document.addEventListener( acara, lazyloadRunObserver ); } ); (fungsi () { var c = document.body.className; c = c.replace(/woocommerce-no-js/, 'woocommerce-js'); document.body.className = c; })();"
27,Compas,wp.i18n.setLocaleData( { 'arah teks\u0004ltr': [ 'ltr' ] } );
28,Compas,"var utm_event_tracker = {""site_url"":""https://compas.co.id"",""ajax_url"":""https://compas.co.id/wp-admin/admin-ajax.php"",""settings"":{""webhook_url"":"" "",""ipinfo_token"":""fe2ba29a13dd18"",""cookie_duration"":30,""append_utm_parameter"":""no"",""capture_custom_events"":true,""custom_e vents"":[]},""nonce"":""f31af41a58"",""has_custom_events"":"""",""utm_parameters"":{""utm_campaign"":null,""utm_medium"":null,""utm_sour ce"":null,""utm_term"":null,""utm_content"":null,""fbclid"":null,""gclid"":null,""ip_address"":""66.249.69.160"",""landing_page"":""/""}};"
29,Compas,"var woocommerce_params = {""ajax_url"":""/wp-admin/admin-ajax.php"",""wc_ajax_url"":""/?wc-ajax=%%endpoint%%"",""i18n_password_show"":""Tampilkan kata sandi"",""i18n_password_hide"":""Sembunyikan kata sandi""};"
30,Compas,"""gunakan ketat"";var _createClass=function(){function defineProperties(target,props){for(var i=0;ii.config.rateThrottle)return;i.numOnHover++,i._addPrefetchLink(e)},this.config.onHoverDelay);t.addEventListener(n,function e(){t.removeEventListener(n,e,{passive:!0}),null!==r&&(clearTimeout(r),r=null)},{passive:!0})}},{key:""_addPrefetchLink"",value:function(i){return this.prefetched.add(i.href),new Promise(function(e,t){var n=document.createElement(""link"");n.rel=""prefetch"",n.href=i.href,n.onload=e,n.onerror=t,document.head.appendChild(n)}).catch(function(){})}},{key:""_prepareUrl"",value:function(e){if(null===e||""object""!==(void 0===e?""undefinisi"":r(e))||!1 di e||-1===[""http:"",""https:""].indexOf(e.protocol))return null;var t=e.href.substring(0,this.config.siteUrl.length),n=this._getPathname(e.href,t),i={asli:e.href,protocol:e.protocol,origin:t,pathname:n,href:t+n};kembalikan this._isLinkOk(i)?i:null}},{key:""_getPathname"",value:function(e,t){var n=t?e.substring(this.config.siteUrl.length):e;return n.startsWith(""/"")||(n=""/""+n),this._shouldAddTrailingSlash(n)?n+""/"":n}},{key:""_shouldAddTrailingSlash"",value:function(e){return this.config.usesTrailingSlash&&!e.endsWith(""/"")&&!this.regex.fileExt.test(e)}},{key:""_isLinkOk"",value:function(e){return null!==e&&""object""===(void 0===e?""undefinisi"":r(e))&&(!this.prefetched.has(e.href)&&e.origin===this.config.siteUrl&&-1===e.href.indexOf(""?"")&&-1===e.href.index Of(""#"")&&!this.regex.excludeUris.test(e.href)&&!this.regex.images.test(e.href))}}],[{key:""run"",value:function(){""undefinisi""!=typeof RocketPreloadLinksConfig&&baru n(RocketBrowserCompatibilityChecker({capture:!0,pasif:!0}),RocketPreloadLinksConfig).init()}}]),n}();t.run(); }());"
31,Compas,"var rocket_lazyload_css_data = {""ambang batas"":""300""};"
32,Compas,"!function o(n,c,a){function u(t,e){if(!c[t]){if(!n[t]){var r=""function""==typeof require&&require;if(!e&&r)return r(t,!0);if(s)return s(t,!0);throw(e=new Error(""Tidak dapat menemukan modul '""+t+""'"")).code=""MODULE_NOT_FOUND"",e}r=c[t]={ekspor:{}},n[t.call(r.exports,function(e){return u(nt[e]||e)},r,r.exports,o,n,c,a)}return c[t].exports}for(var s=""function""==typeof memerlukan&require,e=0;e{var e=t.selector;document.querySelectorAll(e).forEach(e=>{e.setAttribute(""data-rocket-lazy-bg-""+t.hash,""excluded"")})}),document.querySelector(""#wpr-lazyload-bg-container""));var o=rocket_lazyload_css_data.threshold||300;const u=new IntersectionObserver(e=>{e.forEach(t=>{t.isIntersecting&&c.filter(e=>t.target.matches(e.selector)).map(t=>{var e;t&&((e=document.createElement(""style"")).textContent=t.style,a.insertAdjacentElement(""afterend"",e),t.elements.forEach(e=>{u.unobserve(e),e.setAttribute(""data-rocket-lazy-bg-""+t.hash,""loaded"")}))})})},{rootMargin:o+""px""});fungsi n(){0{coba{document.querySelectorAll(t.selector).forEach(e=>{""loaded""!==e.getAttribute(""data-rocket-lazy-bg-""+t.hash)&&""excluded""!==e.ge tAttribute(""data-rocket-lazy-bg-""+t.hash)&&(u.observe(e),(t.elements||=[]).push(e))})}catch(e){console.error(e)}})}n(),function(){const r=window.MutationObserver;return function(e,t){if(e&&1===e.nodeType)return(t=new r(t)).observe(e,{attributes:!0,childList:!0,subtree:!0}),t}}()(document.querySelector(""body""),n)}},{}]},{},[1]);"
33,Compas,"var elementorFrontendConfig = {""environmentMode"":{""edit"":false,""wpPreview"":false,""isScriptDebug"":false},""i18n"":{""shareOnFacebook"":""Bagikan di Facebook"",""shareOnTwitter"":""Bagikan di Twitter"",""pinIt"":""Buat Pin"",""download"":""Unduh"",""downloadImage"":""Unduh gambar"",""fullscreen"":""Layar Penuh"",""zoom"":""Perbesar"",""share"":""Bagikan"",""playVideo"":""Putar Video"",""previous"":""Sebelumnya"",""next"":""Selanjutnya"",""close"":""Tutup"",""a11yCarouselPrevSlideMessage"":""Slide sebelumnya"",""a11yCarouselNextSlideMessage"":""Slide selanjutnya"",""a11yCarouselFirstSlideMessage"":""This is the first slide"",""a11yCarouselLastSlideMessage"":""This is the last slide"",""a11yCarouselPaginationBulletMessage"":""Go to slide""},""is_rtl"":false,""breakpoints"":{""xs"":0,""sm"":480,""md"":768,""lg"":1025,""xl"":1440,""xxl"":1600},""responsive"":{""breakpoints"":{""mobile"":{""label"":""Mobile Portrait"",""value"":767,""default_value"":767,""direction"":""max"",""is_enabled"":true},""mobile_extra"":{""label"":""Mobile Landscape"",""value"":880,""default_value"":880,""direction"":""max"",""is_enabled"":false},""tablet"":{""label"":""Tablet Portrait"",""value"":1024,""default_value"":1024,""direction"":""max"",""is_enabled"":true},""tablet_extra"":{""label"":""Tablet Landscape"",""value"":1200,""default_value"":1200,""direction"":""max"",""is_enabled"":false},""laptop"":{""label"":""Laptop"",""value"":1366,""default_value"":1366,""direction"":""max"",""is_enabled"":false},""widescreen"":{""label"":""Layar lebar"",""value"":2400,""default_value"":2400,""direction"":""min"",""is_enabled"":false}},""hasCustomBreakpoints"":false},""version"":""3.34.4"",""is_static"":false,""experimentalFeatures"":{""additional_custom_breakpoints"":true,""container"":true,""theme_builder_v2"":true,""hello-theme-header-footer"":true,""nested-elements"":true,""home_screen"":true,""global_classes_should_enforce_capabilities"":true,""e_variables"":true,""cloud-library"":true,""e_opt_in_v4_page"":true,""e_interactions"":true,""e_editor_one"":true,""import-export-customization"":true,""mega-menu"":true,""e_pro_variables"":true},""urls"":{""assets"":""https://compas.co.id/wp-content/plugins/elementor/assets/"",""ajaxurl"":""https://compas.co.id/wp-admin/admin-ajax.php"",""uploadUrl"":""https://compas.co.id/wp-content/uploads""},""nonces"":{""floatingButtonsClickTracking"":""2fb4f8f626""},""swiperClass"":""swiper"",""settings"":{""page"":[],""editorPreferences"":[]},""kit"":{""viewport_mobile"":767,""viewport_tablet"":1024,""active_breakpoints"":[""viewport_mobile"",""viewport_tablet""],""global_image_lightbox"":""yes"",""lightbox_enable_counter"":""yes"",""lightbox_enable_fullscreen"":""yes"",""lightbox_enable_zoom"":""yes"",""lightbox_enable_share"":""yes"",""lightbox_title_src"":""title"",""lightbox_description_src"":""description"",""woocommerce_notices_elements"":[],""hello_header_logo_type"":""title"",""hello_header_menu_layout"":""horizontal"",""hello_footer_logo_type"":""logo""},""post"":{""id"":50700,""title"":""Leading%20E-commerce%20Data-Analytics%20Provider%20%26%20E-commerce%20Enabler"",""excerpt"":"""",""featuredImage"":false}};"
34,Compas,"var jkit_ajax_url = ""https://compas.co.id/?jkit-ajax-request=jkit_elements"", jkit_nonce = ""01b7512ea3"";"
35,Compas,"var elementskit = { pemulihan: 'https://compas.co.id/wp-json/elementskit/v1/', }"
36,Compas,"var wc_order_attribution = {""params"":{""lifetime"":1.0e-5,""session"":30,""base64"":false,""ajaxurl"":""https://compas.co.id/wp-admin/admin-ajax.php"",""prefix"":""wc_order_attribution_"",""allowTracking"":t rue},""fields"":{""source_type"":""current.typ"",""referrer"":""current_add.rf"",""utm_campaign"":""current.cmp"",""utm_source"":""current.src"",""utm_medium"":""current.mdm"",""utm_conten t"":""current.cnt"",""utm_id"":""current.id"",""utm_term"":""current.trm"",""utm_source_platform"":""current.plt"",""utm_creative_format"":""current.fmt"",""utm_marketing_tactic"":""curr ent.tct"",""session_entry"":""current_add.ep"",""session_start_time"":""current_add.fd"",""session_pages"":""session.pgs"",""session_count"":""udata.vst"",""user_agent"":""udata.uag""}};"
37,Compas,"window._googlesitekit.wcdata = jendela._googlesitekit.wcdata || {}; window._googlesitekit.wcdata.products = []; window._googlesitekit.wcdata.add_to_cart = null; window._googlesitekit.wcdata.currency = ""IDR""; window._googlesitekit.wcdata.eventsToTrack = [];"
38,Compas,"var IvorySearchVars = {""is_analytics_enabled"":""1""};"
39,Compas,"window.ga4w = { data: {""cart"":{""items"":[],""coupons"":[],""totals"":{""currency_code"":""IDR"",""total_price"":0,""currency_minor_unit"":0}}}, setelan: {""tracker_function_name"":""gtag"",""events"":[""beli"",""tambahkan_ke_keranjang"",""hapus_dari_keranjang"",""view_item_list"",""select_content"",""view_item"",""begin_checkout""],""identifier"":null} }; document.dispatchEvent(Acara baru(""ga4w:siap""));"
40,Compas,"var ElementorProFrontendConfig = {""ajaxurl"":""https://compas.co.id/wp-admin/admin-ajax.php"",""nonce"":""24311bc5a9"",""urls"":{""assets"":""https://compas.co.id/wp-content/plugins/elementor-pro/assets/"",""rest"":""https: //compas.co.id/wp-json/""},""settings"":{""lazy_load_background_images"":true},""popup"":{""hasPopUps"":true},""shareButtonsNetworks"":{""facebook"":{""title"":""Facebook"",""has_counter"":true },""twitter"":{""title"":""Twitter""},""linkedin"":{""title"":""LinkedIn"",""has_counter"":true},""pinterest"":{""title"":""Pinterest"",""has_counter"":true},""reddit"":{""title"":""Reddit"",""has_counte r"":true},""vk"":{""title"":""VK"",""has_counter"":true},""odnoklassniki"":{""title"":""OK"",""has_counter"":true},""tumblr"":{""title"":""Tumblr""},""digg"":{""title"":""Digg""},""skype"":{""title"":""Skype"" },""stumbleupon"":{""title"":""StumbleUpon"",""has_counter"":true},""mix"":{""title"":""Mix""},""telegram"":{""title"":""Telegram""},""pocket"":{""title"":""Pocket"",""has_counter"":true},""xing"":{""title "":""XING"",""has_counter"":true},""whatsapp"":{""title"":""WhatsApp""},""email"":{""title"":""Email""},""print"":{""title"":""Print""},""x-twitter"":{""title"":""X""},""threads"":{""title"":""Threads""}},""woo commerce"":{""menu_cart"":{""cart_page_url"":""https://compas.co.id/keranjang-belanja/"",""checkout_page_url"":""https://compas.co.id/checkout/"",""fragments_nonce"":""eab6ef53c9""}},""faceb ook_sdk"":{""lang"":""id_ID"",""app_id"":""""},""lottie"":{""defaultAnimationUrl"":""https://compas.co.id/wp-content/plugins/elementor-pro/modules/lottie/assets/animations/default.json""}};"
41,Compas,"var ekit_config = {""ajaxurl"":""https://compas.co.id/wp-admin/admin-ajax.php"",""nonce"":""2163cc4f6a""};"
42,Compas,"window.lazyLoadOptions=[{elements_selector:""img[data-lazy-src],.rocket-lazyload"",data_src:""lazy-src"",data_srcset:""lazy-srcset"",data_sizes:""lazy-sizes"",class_loading:""lazyloading"",class_loaded:""la zyloaded"",ambang batas:300,callback_loaded:function(element){if(element.tagName===""IFRAME""&&element.dataset.rocketLazyload==""fitvidskompatibel""){if(element.classList.contains(""lazyloaded"")){if(typeof window.jQuery!=""tidak terdefinisi""){if(jQuery.fn.fitVids){jQuery(element).parent().fitVids()}}}}}},{elements_selector:"".rocket-lazyload"",data_src:""lazy-src"",data_srcset:""lazy -srcset"",data_sizes:""lazy-sizes"",class_loading:""lazyloading"",class_loaded:""lazyloaded"",threshold:300,}];window.addEventListener('LazyLoad::Initialized',function(e){var malasLoadInstance=e.detail.instance;if(window.MutationObserver){var pengamat=baru MutationObserver(fungsi(mutasi){var image_count=0;var iframe_count=0;var rocketlazy_count=0;mutations.forEach(function(mutation){for(var i=0;i0||iframe_count>0||rocketlazy_count>0){lazyLoadInstance.update()}});var b=document.getElementsByTagName(""body"")[0];var config={childList:!0,subtree:!0};observer.observe(b,config)}},!1) (()=>{kelas RocketElementorPreload{constructor(){this.deviceMode=document.createElement(""span""),this.deviceMode.id=""elementor-device-mode-wpr"",this.deviceMode.setAttribute(""class"",""elementor-screen-only""),document.body.appendChild(this.deviceMode)}t(){biarkan t=getComputedStyle(this.deviceMode,"":after"").content.replace(/""/g,"""");this.animationSettingKeys=this.i(t),document.querySelectorAll("".elementor-invisible[data-settings]"").forEach((t=>{const e=t.getBoundingClientRect();if(e.bottom>=0&&e.tope[t]))];if(""none""===n)return void t.classList.remove(""elementor-invisible"");t.classList.remove(n),this.currentAnimation&&t.classList.remove(this.currentAnimation),this.currentAnimation=n;biarkan o=setTimeout((()=>{t.classList.remove(""elementor-invisible""),t.classList.add(""animated"",n),this.l(t,e)}),i);window.addEventListener(""rocket-startLoading"",(function(){clearTimeout(o)}))}i(t=""mobile""){const e=[""""];switch(t){case""mobile"":e.unshift(""_mobile"");case""tablet"":e.unshift(""_tablet"");case""desktop"":e.unshift(""_desktop"")}const i=[];return[""animation"",""_animation""].forEach((t=>{e.forEach((e=>{i.push(t+e)}))})),i}l(t,e){this.i().forEach((t=>hapus e[t])),t.dataset.settings=JSON.stringify(e)}run statis(){const t=baru RocketElementorPreload;requestAnimationFrame(t.t.bind(t))}}document.addEventListener(""DOMContentLoaded"",RocketElementorPreload.run)})();"
43,Frontier,Bisnis - Perbatasan
44,Frontier,Rumah
45,Frontier,Bisnis
46,Frontier,Jelajahi Unit Bisnis Kami
47,Frontier,"Perusahaan kami memiliki beragam unit bisnis khusus, masing-masing berdedikasi untuk memberikan nilai luar biasa di sektornya masing-masing."
48,Frontier,Teknologi Perbatasan
49,Frontier,Teknologi
50,Frontier,"Frontier Technology adalah penyedia teknologi pemasaran terkemuka di Indonesia yang telah melayani klien korporat di bidang perbankan, ecommerce, telekomunikasi, dan banyak sektor vertikal lainnya."
51,Frontier,TENTANG
52,Frontier,"Frontier Technology berspesialisasi dalam menciptakan proses otomatisasi pemasaran melalui analisis data tingkat lanjut, pemanfaatan, dan aplikasi khusus."
53,Frontier,"Solusi teknologi pemasaran seperti email, Whatsapp, keterlibatan aplikasi, dan banyak lainnya untuk membantu perusahaan terlibat dan berkomunikasi lebih baik dengan pelanggan mereka."
54,Frontier,Otomatisasi Pemasaran
55,Frontier,Aplikasi Kustom yang Canggih
56,Frontier,PLATFORM
57,Frontier,Memberdayakan Strategi Anda dengan Platform Kami
58,Frontier,"Sebagai mesin di balik teknologi digital Frontier, Frontier Apps selalu berupaya menghadirkan aplikasi berkualitas dan canggih yang dapat diandalkan dan mudah digunakan."
59,Frontier,"Perusahaan terkemuka dalam email, otomatisasi pemasaran seluler, platform mesin pemasaran pertumbuhan yang membantu perusahaan memberikan pengalaman pelanggan 1 banding 1 yang luar biasa"
60,Frontier,Spradz! adalah platform digital lengkap dan komunitas influencer untuk kesadaran merek. Kendalikan promosi Anda dengan dasbor terbuka kami!
61,Frontier,"Platform Pengalaman Produk tanpa kode yang membantu manajer produk dan pemasar dalam meningkatkan aktivasi, konversi, adopsi, dan keterlibatan menggunakan petunjuk dan panduan."
62,Frontier,Perbatasan Digital
63,Frontier,Frontier Digital adalah mitra dan pemecah masalah yang dengan percaya diri menyediakan alat canggih dan strategi digital.
64,Frontier,Penelitian Perbatasan
65,Frontier,Riset
66,Frontier,Riset Pemasaran Berbasis di Indonesia Frontier Research
67,Frontier,Frontier Research adalah lembaga riset pemasaran terkemuka di Indonesia yang telah melayani ratusan perusahaan lokal dan entitas terkait pemerintah serta perusahaan multinasional.
68,Frontier,Frontier Research adalah salah satu dari sedikit lembaga riset pemasaran di Indonesia yang telah menerapkan metodologi offline dan online untuk memberikan layanan penelitian.
